,game,model,experiment,episode,metric,value
0,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_3,n Turns,3.0
1,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_3,Request Count,7.0
2,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_3,Parsed Request Count,7.0
3,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_3,Violated Request Count,0.0
4,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_3,Request Success Ratio,1.0
5,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_3,Success,1.0
6,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_3,Lose,0.0
7,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_3,Aborted,0.0
8,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_3,Text Fail,0.0
9,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_3,JSON Fail,0.0
10,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_3,Task Success Rate,1.0
11,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_3,Main Score,100.0
12,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_3,Summarisation Penatly,0.0
13,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_3,Conversational turns A,3.0
14,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_3,Conversational turns B,2.0
15,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_3,Average Char Count A,153.67
16,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_3,Average Char Count B,311.0
17,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_3,Average Word Count A,28.0
18,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_3,Average Word Count B,59.5
19,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_3,Average Sentence Count A,12.36
20,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_3,Average Sentence Count B,13.0
21,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_6,n Turns,4.0
22,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_6,Request Count,11.0
23,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_6,Parsed Request Count,10.0
24,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_6,Violated Request Count,1.0
25,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_6,Request Success Ratio,0.9090909090909091
26,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_6,Success,1.0
27,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_6,Lose,0.0
28,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_6,Aborted,0.0
29,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_6,Text Fail,0.0
30,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_6,JSON Fail,0.0
31,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_6,Task Success Rate,1.0
32,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_6,Main Score,88.0
33,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_6,Summarisation Penatly,12.0
34,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_6,Conversational turns A,4.0
35,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_6,Conversational turns B,3.0
36,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_6,Average Char Count A,197.5
37,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_6,Average Char Count B,507.33
38,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_6,Average Word Count A,36.5
